Flamingo 40	1.19
Flicka	0.96
Forgus 31	1.09
Forgus 321	1.11
Forgus 36	1.16
Formula 16 (1)	1.76
Formula 16 (2)	1.69
Formula 18	1.69
Fortissimo	1.09
Freja	1.02
Furioso	1.01
Gambler 35	1.19
Gambler 37	1.26
Gambler 38	1.26
Gambling 34 7/8	1.12
Gambling 34 MH	1.14
Gecco 39	1.20
Gib-Sea 80 Plus	1.06
Giggen	0.76
GK 24 MH	1.03
GK 29 Cr	1.09
Granada 23	1.03
Granada 24	0.97
Granada 27	1.06
Granada 31 MH	1.11
Granada 808	1.04
Granada 910	1.09
Granhill	1.14
Great Dane 28	0.98
Grimbo 82	1.05
Grinde	1.06
Guy 22	0.99
Guy 27 7/8	1.03
Guy 27 MH	1.04
Guy 33	1.14
Guyline 105	1.18
Guyline 125	1.24
Guyline 3800	1.23
Guyline 822	1.12
Guyline 95 HR	1.14
Guyline 95 LR	1.13
H 323	1.13
H 35	1.13
Hanse 311 djup köl	1.15
Hanse 311 grund köl	1.14
Hanse 312 djup köl	1.15
Hanse 312 grund köl	1.14
Hanse 341	1.21
Hanse 342	1.22
Hanse 371	1.25
Hanse 411 djup köl	1.27
Hanse 411 grund köl	1.27
Hansson 31	1.21
Harmony 31	1.06
H-båt	1.07
Helmsman 20	0.97
Helmsman 23	0.98
Helmsman 26	1.03
Helmsman 31	1.09
Hero 101	1.13
Hero 107 CS	1.14
Hydra 16	0.96
Hobie 20 fox	1.79
Hobie Cat 14	1.24
Hobie Cat 14T	1.36
Hobie Cat 16	1.43
Hobie Cat 17	1.46
Hobie Cat 18	1.59
Hobie Cat 18FA	1.67
Hobie Cat 18M	1.52
Hobie Cat 21	1.80
Hobie FX one(1)	1.71
Hobie FX one(2)	1.61
Hobie Pacific	1.61
Hobie Tiger	1.67
HR 26	1.02
HR 29	1.04
HR 312	1.05
HR 34	1.18
HR 352 HR	1.10
HR 352 LR	1.08
HR 36	1.15
H-star	1.10
Humphreys 22	1.23
Hunter Sonata	1.01
Hurley 18	0.82
Hurricane 500	1.54
IF	1.02
IF-E	0.99
Impala 27	1.12
Impala 30	1.12
IMX 38	1.32
IMX 40	1.38
Indra	0.99
Inferno 26	1.13
Inferno 28	1.12
Inferno 29	1.14
Inferno 31	1.15
Inferno 33	1.19
IOD	1.13
IW 23	0.95
IW 26	1.00
IW 31	1.08
IW 40 HR	1.19
Ylva	1.24
Yngling	1.01
J 10	0.76
J 17	0.86
J/105	1.29
J/24	1.11
J/80	1.21
J/92	1.26
Jarrack 33	1.11
Jasmine 25	1.00
Jeanneau Sunrise	1.17
JOD 35	1.27
Joe 17	0.90
Johnson 23	0.99
Johnson 26	1.03
Johnson 27	0.98
Joker	1.08
Jon 30	1.09
Jon 33	1.13
Joule 44	1.31
Juniorbåt (KDY 15)	0.89
Junker 22	0.89
Junker 26	1.00
K 22 klink	0.95
K 22 kravell	0.98
K 25 klink	0.97
K 25 kravell	1.00
K 32 kravell	1.00
K 6	0.90
Karavel 10 M	1.16
Kaskelot	1.16
Kings Cr 29 LR	1.02
Kings Cr 33	1.09
Knarr	1.03
Kompromiss	1.08
L 23	1.02
L 28	1.00
L 29	1.08
Lady GT	1.20
Lady Helmsman	1.16
Lady II	1.19
LA-kryssare	1.02
Larsen 28	1.13
Laser	1.21
Laser Radial	1.19
Lerum 35	1.15
Linjett 29	1.08
Linjett 30 HR	1.09
Linjett 30 LR	1.08
Linjett 32 7/8	1.12
Linjett 32 MH	1.12
Linjett 33	1.17
Linjett 35	1.18
Linjett 40	1.30
LM 22	0.97
LM 24	0.86
LM 28	1.00
LM 30	1.03
LM 32	1.06
LM 81 MS	0.99
Lohi 17	0.90
Lord Helmsman	1.06
Lotus Scandinavia	1.16
Lotus Skärg,kr	1.16
L-Scampi 26 Mk III	1.03
Luffe 37	1.23
Luffe 40 MH	1.31
M 22	1.07
M 25	1.08
M 30	1.14
M20	1.88
Maestro 31 Cr	1.13
Maestro 35	1.16
Magnifik Midget	0.95
Magnum 21	1.38
Malö 106	1.12
Malö 116	1.15
Malö 40 -1978	1.01
Malö 40 1979-	1.04
Malö 50	1.05
Mamba 29	1.06
Mamba 31	1.09
Mamba 311 7/8	1.09
Mamba 311 MH	1.09
Mamba 33	1.13
Mamba 34	1.14
Mamba 341	1.14
Mamba 35	1.19
Mamba 36	1.20
Mani 30	1.14
Mani 32	1.21
Mani 66	1.03
Marieholm 26	0.98
Marieholm 261	0.98
Marieholm 28	1.01
Marieholm 281	1.01
Marieholm 32	1.05
Marieholm 32E	1.05
Marieholm 33	1.09
Marieholm MS 20	0.83
Marieholm S 20	0.89
Marinette	1.12
Markant	0.99
Marsvin	1.04
Maxi 100	1.05
Maxi 108	1.16
Maxi 33	1.10
Maxi 68	0.95
Maxi 77	1.03
Maxi 777	1.05
Maxi 800	1.10
Maxi 84	1.04
Maxi 84 HR	1.06
Maxi 87	1.06
Maxi 900	1.12
Maxi 909	1.11
Maxi 95	1.07
Maxi 999	1.15
Maxi Magic	1.08
Maxi Racer	1.12
Mega 30	1.14
Melges 24	1.27
MF 630	0.96
Mikkel 30	1.05
Minette	0.91
Mini-Compis	1.05
Minit	1.03
Mirror	0.98
Misil I	0.96
Misil II	0.98
Mistinguette	1.06
Mistress	1.07
Mixer Cr	1.16
Mixer EC	1.17
My	0.99
Molich 10 M	1.24
Monark 44	0.76
Monark 540	0.85
Monark 700	0.99
Monsun 31	1.03
Möre 30 7/8	1.08
Möre 30 MH	1.08
Mumm 36	1.36
Murena	1.09
Mustang Jr	1.00
Najad 320	1.07
Najad 34 HR	1.06
Najad 34 MS	1.03
Najad 343	1.07
Najad 360	1.10
Najad 37	1.09
Najad 371	1.09
Nardus 92	1.08
Nauticat S-300	1.03
Naver 29	1.04
NC-kryssare 7/8	1.04
Neptun 12	0.92
Neptunkryssare	1.00
Nessy 94 Cr/R	1.16
NF	1.10
Nimbus 30	1.10
Nord 80 -1977	1.00
Nord 80 1978-	1.03
Nordisk Folkbåt	0.97
Nordisk Kryssare 5½	1.06
Nordisk Snekke	1.02
Nordship 28	1.06
Nordship 34	1.15
Nordship 666	0.97
Nordship 808	1.04
Norlin 34 Mk I	1.15
